genres,movie_title,original_language,popularity,production_countries,release_date,spoken_languages,vote_average,vote_count,year_released
"[""Documentary""]",#Female Pleasure,en,1.943,"[""Germany"",""Switzerland""]",2018-11-08,"[""English"",""Français"",""日本語"",""Español""]",7.8,20.0,2018.0
"[""Mystery"",""Drama"",""Comedy"",""Romance""]",The Forbidden Room,en,4.21,"[""Canada""]",2015-10-07,"[""English""]",5.9,69.0,2015.0
"[""Drama""]",Lion,en,16.954,"[""Australia"",""United Kingdom"",""United States of America""]",2016-01-20,"[""বাংলা"",""English"",""हिन्दी""]",8.1,5498.0,2016.0
"[""Drama"",""Thriller""]",Rose Plays Julie,en,2.253,"[""Ireland""]",2021-03-19,"[""English""]",6.4,9.0,2019.0
"[""Comedy"",""Drama""]",Another Round,da,29.869,"[""Denmark"",""Netherlands"",""Sweden""]",2020-09-24,"[""Dansk"",""svenska""]",7.8,1446.0,2020.0
"[""Drama""]",The Storyteller,en,1.593,"[""United States of America""]",2018-09-21,"[""English""]",7.0,4.0,2018.0
"[""Documentary""]",Gunda,en,3.664,"[""Norway"",""Spain"",""United States of America""]",2021-04-15,"[""No Language""]",7.6,13.0,2020.0
"[""Family"",""Adventure"",""Drama""]",A Dog's Journey,en,43.521,"[""Hong Kong"",""India"",""China"",""United States of America""]",2019-05-03,"[""English""]",8.1,1016.0,2019.0
"[""Documentary""]",Silicon Cowboys,en,4.726,"[""United States of America""]",2016-09-16,"[""English""]",6.7,51.0,2016.0
"[""Thriller"",""Drama"",""Western""]",Marlina the Murderer in Four Acts,id,3.769,"[""Indonesia"",""Malaysia"",""Thailand""]",2017-05-15,"[""Bahasa indonesia""]",6.8,51.0,2017.0
"[""Drama"",""Romance""]",Sin,id,0.768,"[""Indonesia""]",2019-10-10,"[""Bahasa indonesia""]",6.5,2.0,2019.0
"[""Drama""]",Find Me,en,1.561,"[""United States of America""]",2018-10-06,"[""English""]",6.8,5.0,2018.0
"[""Thriller"",""Horror"",""Mystery""]",Us,en,26.627,"[""United States of America""]",2019-03-14,"[""English""]",7.0,5425.0,2019.0
"[""Thriller"",""Drama""]",Super Deluxe,ta,3.972,"[""India""]",2019-03-29,"[""தமிழ்""]",7.9,59.0,2019.0
"[""Drama"",""Animation""]",The Aeronauts,es,0.6,"[""Mexico""]",2016-03-09,"[""Español""]",10.0,1.0,2016.0
"[""Comedy""]",Slash,en,4.032,"[""United States of America""]",2016-03-13,"[""English""]",5.9,30.0,2016.0
