title,audienceScore,tomatoMeter,releaseDateTheaters,genre,originalLanguage
Spettacolo,100.0,93.0,2017-09-06,Documentary,Italian
Compartment No. 6,85.0,93.0,2022-01-26,Drama,Russian
You Won't Be Alone,69.0,93.0,2022-04-01,"Horror, Drama",Macedonian
The Teacher,81.0,91.0,2017-08-30,"Comedy, Drama",Slovak
Neptune Frost,75.0,96.0,2022-06-03,"Musical, Sci-fi",Swahili
The Automat,86.0,98.0,2022-02-18,Documentary,English
All Saints,72.0,95.0,2017-08-25,Drama,English
Goldie,60.0,95.0,2020-02-21,Drama,English
Keep Quiet,75.0,100.0,2017-02-17,Documentary,English
Tales of an Immoral Couple,92.0,57.0,2017-08-25,"Romance, Comedy",Spanish
Riders of Justice,89.0,96.0,2021-05-14,"Action, Mystery & thriller, Comedy",Danish
Call Her Ganda,78.0,100.0,2018-09-21,Documentary,Filipino
Marry Me,92.0,61.0,2022-02-11,"Romance, Comedy",English
A Silent Voice,93.0,95.0,2017-10-20,"Drama, Romance, Anime",Japanese
Neerja,84.0,100.0,2016-02-19,"Biography, Drama",Hindi
Bluebird,89.0,100.0,2019-11-15,"Documentary, Music",English
A Quiet Passion,48.0,92.0,2017-04-14,"Biography, History, Drama",English
Harpoon,59.0,97.0,2019-10-04,"Mystery & thriller, Comedy",English
Ordinary Love,69.0,93.0,2020-02-14,"Drama, Romance",English (United Kingdom)
INU-OH,88.0,91.0,2022-08-12,"Fantasy, Anime, Musical",Japanese
First Cow,64.0,96.0,2020-03-06,"Western, Drama",English
Give or Take,83.0,95.0,2022-02-11,"Comedy, Drama",English
I Am Not a Witch,73.0,96.0,2018-09-07,Drama,English
Princess of the Row,92.0,88.0,2020-11-27,Drama,English
I Do Not Care If We Go Down in History as Barbarians,60.0,96.0,2019-07-19,"Comedy, Drama",Romanian
Wildland,26.0,93.0,2021-08-20,"Crime, Drama, Mystery & thriller",Danish
The Burial of Kojo,79.0,100.0,2019-03-29,"Drama, Mystery & thriller",English
Served Like a Girl,78.0,100.0,2017-08-25,Documentary,English
Be Natural: The Untold Story of Alice Guy-Blaché,96.0,96.0,2019-03-15,Documentary,English
Theeb,75.0,97.0,2015-11-06,"Adventure, Drama, Mystery & thriller",Arabic
Firecrackers,60.0,96.0,2019-07-12,Drama,English
Happening,74.0,99.0,2022-05-06,Drama,French (France)
In the Heights,94.0,94.0,2021-06-10,Musical,English
TransFatty Lives,92.0,88.0,2015-11-20,"Biography, Documentary",English
16 Bars,100.0,80.0,2019-11-08,Documentary,English
A Writer's Odyssey,76.0,93.0,2021-02-12,"Action, Fantasy",Chinese
The Quiet Girl,92.0,96.0,2022-12-16,Drama,English
Trophy,81.0,96.0,2017-09-08,Documentary,English
Sublet,80.0,92.0,2021-06-11,"Comedy, Drama, Lgbtq+",English
Invisible Life,89.0,94.0,2019-12-20,"Drama, Romance",Portuguese (Brazil)
Servants,50.0,96.0,2022-02-25,Drama,Slovak
The Great Buster: A Celebration,86.0,94.0,2018-10-05,Documentary,English
Straight Outta Compton,91.0,88.0,2015-08-14,"Biography, Drama, Music",English
Lost Inside,93.0,100.0,2022-08-02,"Comedy, Drama",English
Border,76.0,97.0,2018-10-26,"Fantasy, Horror, Mystery & thriller, Romance",Swedish
Hunter Hunter,63.0,94.0,2020-12-18,"Horror, Mystery & thriller",English
Drishyam 2,97.0,67.0,2022-11-18,"Action, Mystery & thriller",Hindi
My Prince Edward,86.0,100.0,2020-09-04,Drama,English
Maya Angelou and Still I Rise,88.0,96.0,2016-10-14,Documentary,English
Escape From Mogadishu,88.0,95.0,2021-08-06,"War, Drama, Mystery & thriller",Korean
Woman in Motion,96.0,100.0,2021-02-02,Documentary,English
Raise Hell: The Life & Times of Molly Ivins,100.0,95.0,2019-08-30,Documentary,English
12 Mighty Orphans,94.0,63.0,2021-06-11,"History, Drama",English
The Father,92.0,98.0,2021-02-26,Drama,English (United Kingdom)
The Rose Maker,88.0,95.0,2022-04-01,"Comedy, Drama",French (France)
It's Not Yet Dark,65.0,95.0,2017-08-04,Documentary,English
The Phantom,75.0,100.0,2021-07-02,Documentary,English
Two of Us,76.0,98.0,2021-02-05,"Drama, Romance, Lgbtq+",French (France)
Midnight,69.0,100.0,2022-04-01,Mystery & thriller,Korean
Just Mercy,99.0,85.0,2020-01-10,Drama,English
What We Do in the Shadows,87.0,96.0,2015-02-13,"Comedy, Horror",English
Inventing Tomorrow,90.0,100.0,2018-08-31,Documentary,English
Battle for Saipan,93.0,33.0,2022-11-25,"War, History, Drama, Action",English
Guillermo del Toro's Pinocchio,90.0,97.0,2022-11-09,"Musical, Fantasy, Animation",English
Licorice Pizza,66.0,91.0,2021-12-25,Comedy,English
Creed,89.0,95.0,2015-11-25,Drama,English
What Is Democracy?,56.0,96.0,2019-01-16,Documentary,English
The Woman Who Ran,52.0,100.0,2021-07-09,"Comedy, Drama",Korean
Kusama: Infinity,90.0,94.0,2018-09-07,Documentary,English
