nomination_id,movie_id,year_film,year_ceremony,ceremony,canon_category,name,winner
265,1418,2016,2017,89,CINEMATOGRAPHY,Bradford Young,False
266,441,2016,2017,89,ANIMATED FEATURE FILM,Byron Howard/Rich Moore/Clark Spencer,True
267,1595,2016,2017,89,ANIMATED FEATURE FILM,John Musker/Ron Clements/Osnat Shurer,False
268,1527,2016,2017,89,ANIMATED FEATURE FILM,Travis Knight/Arianne Sutner,False
269,774,2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Michelle Williams,False
270,448,2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Nicole Kidman,False
271,662,2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Naomie Harris,False
272,1218,2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Viola Davis,True
273,61,2016,2017,89,ACTRESS IN A LEADING ROLE,Emma Stone,True
274,954,2016,2017,89,ACTRESS IN A LEADING ROLE,Isabelle Huppert,False
275,448,2016,2017,89,ACTOR IN A SUPPORTING ROLE,Dev Patel,False
276,1418,2016,2017,89,SOUND EDITING,Sylvain Bellemare,True
277,969,2017,2018,90,ACTOR IN A LEADING ROLE,Daniel Kaluuya,False
278,774,2016,2017,89,WRITING (Original Screenplay),Kenneth Lonergan,True
279,61,2016,2017,89,WRITING (Original Screenplay),Damien Chazelle,False
280,1540,2016,2017,89,WRITING (Original Screenplay),Taylor Sheridan,False
281,662,2016,2017,89,WRITING (Adapted Screenplay),Barry Jenkins/Tarell Alvin McCraney,True
282,448,2016,2017,89,WRITING (Adapted Screenplay),Luke Davies,False
283,1218,2016,2017,89,WRITING (Adapted Screenplay),August Wilson,False
284,1418,2016,2017,89,WRITING (Adapted Screenplay),Eric Heisserer,False
285,464,2018,2019,91,MUSIC (Original Song),"Kendrick Lamar/Mark ""Sounwave"" Spears/Anthony ""Top Dawg"" Tiffith/SZA",False
286,194,2016,2017,89,VISUAL EFFECTS,Robert Legato/Adam Valdez/Andrew R. Jones/Dan Lemmon,True
