movie_id,audienceScore,tomatoMeter,popularity,vote_average,vote_count
720,88.0,98.0,15.82,7.4,1920.0
721,84.0,95.0,4.03,7.0,52.0
722,56.0,94.0,8.89,6.3,83.0
723,98.0,90.0,303.072,8.5,817.0
724,81.0,98.0,8.939,6.9,26.0
725,85.0,97.0,3.481,7.3,16.0
727,98.0,100.0,3.68,6.2,5.0
731,58.0,94.0,2.588,6.2,23.0
734,76.0,96.0,9.725,7.0,461.0
735,92.0,94.0,0.991,7.1,8.0
737,92.0,97.0,48.139,7.9,8008.0
738,63.0,92.0,1.472,6.6,13.0
739,77.0,91.0,8.539,6.6,541.0
740,98.0,17.0,0.781,6.0,5.0
741,47.0,94.0,10.931,5.3,86.0
742,64.0,100.0,2.868,6.6,11.0
744,86.0,97.0,5.772,0.0,0.0
746,52.0,91.0,14.184,5.7,170.0
748,95.0,60.0,3.634,7.2,37.0
749,56.0,91.0,4.733,5.9,51.0
753,69.0,100.0,5.64,6.1,48.0
754,63.0,100.0,3.16,7.0,37.0
755,56.0,100.0,6.544,4.6,4.0
756,96.0,94.0,5.429,7.0,44.0
759,71.0,93.0,1.912,6.8,11.0
760,80.0,100.0,16.542,6.8,855.0
764,74.0,100.0,2.187,6.7,19.0
765,99.0,80.0,8.156,7.2,44.0
767,93.0,97.0,3.616,7.2,5.0
768,95.0,80.0,73.353,9.3,4.0
770,83.0,100.0,4.464,6.3,18.0
771,100.0,84.0,6.743,6.8,61.0
774,78.0,96.0,20.975,7.5,4617.0
775,96.0,30.0,2.843,4.7,16.0
776,88.0,97.0,4.813,7.0,46.0
777,82.0,94.0,7.016,7.2,71.0
782,98.0,53.0,5.272,6.2,18.0
783,85.0,95.0,22.404,7.8,5249.0
784,80.0,96.0,14.674,7.4,2053.0
785,52.0,100.0,10.912,5.8,62.0
787,78.0,92.0,1.229,5.8,10.0
788,67.0,100.0,1.043,7.0,5.0
791,66.0,95.0,6.553,6.2,37.0
795,84.0,95.0,12.913,8.2,138.0
797,81.0,94.0,5.805,7.1,98.0
798,87.0,95.0,20.811,7.6,972.0
800,91.0,58.0,6.083,7.8,74.0
801,74.0,92.0,8.8,6.8,256.0
802,91.0,100.0,5.25,7.2,49.0
803,92.0,89.0,12.859,7.4,97.0
804,84.0,93.0,10.72,7.9,779.0
806,38.0,93.0,1.253,5.9,7.0
808,87.0,100.0,7.822,7.7,427.0
809,92.0,81.0,12.236,6.2,45.0
810,83.0,96.0,15.773,7.6,6000.0
812,75.0,92.0,6.14,6.5,105.0
815,58.0,94.0,4.882,7.1,15.0
816,77.0,98.0,8.689,6.4,136.0
817,95.0,72.0,15.113,6.8,783.0
820,60.0,93.0,2.829,4.3,7.0
821,83.0,98.0,3.671,7.1,22.0
823,72.0,92.0,46.979,7.3,10161.0
824,82.0,93.0,2.42,7.9,29.0
826,90.0,99.0,15.878,7.9,445.0
827,85.0,100.0,2.977,6.6,8.0
829,69.0,95.0,3.579,7.4,13.0
830,97.0,63.0,2.714,8.0,1.0
831,74.0,91.0,19.473,6.8,1517.0
832,79.0,94.0,11.147,0.0,0.0
834,94.0,93.0,4.24,7.1,18.0
836,94.0,89.0,14.736,8.0,354.0
838,47.0,100.0,2.738,5.1,18.0
839,91.0,54.0,9.625,7.4,122.0
840,77.0,100.0,1.062,0.0,0.0
841,75.0,96.0,2.904,7.1,39.0
842,67.0,94.0,8.052,6.4,176.0
